Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
200	:	1538347576.379	  1047.025	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 200' lusc_mccv_enet.R
198	:	1538347575.850	  1093.663	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 198' lusc_mccv_enet.R
199	:	1538347576.137	  1103.710	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 199' lusc_mccv_enet.R
197	:	1538347575.598	  1119.725	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 197' lusc_mccv_enet.R
85	:	1538347548.531	  1244.754	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 85' lusc_mccv_enet.R
17	:	1538347532.293	  1272.006	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 17' lusc_mccv_enet.R
33	:	1538347535.860	  1304.287	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 33' lusc_mccv_enet.R
36	:	1538347536.612	  1323.351	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 36' lusc_mccv_enet.R
71	:	1538347545.042	  1324.457	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 71' lusc_mccv_enet.R
45	:	1538347538.854	  1336.768	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 45' lusc_mccv_enet.R
49	:	1538347539.818	  1349.253	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 49' lusc_mccv_enet.R
164	:	1538347567.495	  1325.409	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 164' lusc_mccv_enet.R
24	:	1538347533.814	  1362.207	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 24' lusc_mccv_enet.R
114	:	1538347555.358	  1345.095	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 114' lusc_mccv_enet.R
1	:	1538347528.838	  1378.086	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 1' lusc_mccv_enet.R
179	:	1538347571.139	  1337.483	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 179' lusc_mccv_enet.R
41	:	1538347537.863	  1377.948	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 41' lusc_mccv_enet.R
75	:	1538347546.014	  1373.738	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 75' lusc_mccv_enet.R
101	:	1538347552.306	  1377.325	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 101' lusc_mccv_enet.R
90	:	1538347549.744	  1382.937	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 90' lusc_mccv_enet.R
127	:	1538347558.444	  1375.776	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 127' lusc_mccv_enet.R
76	:	1538347546.265	  1388.761	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 76' lusc_mccv_enet.R
187	:	1538347573.099	  1363.203	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 187' lusc_mccv_enet.R
66	:	1538347543.853	  1394.459	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 66' lusc_mccv_enet.R
19	:	1538347532.746	  1410.191	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 19' lusc_mccv_enet.R
98	:	1538347551.616	  1393.649	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 98' lusc_mccv_enet.R
102	:	1538347552.553	  1395.913	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 102' lusc_mccv_enet.R
92	:	1538347550.207	  1403.094	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 92' lusc_mccv_enet.R
161	:	1538347566.724	  1391.219	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 161' lusc_mccv_enet.R
65	:	1538347543.602	  1419.392	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 65' lusc_mccv_enet.R
78	:	1538347546.775	  1416.561	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 78' lusc_mccv_enet.R
53	:	1538347540.784	  1428.557	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 53' lusc_mccv_enet.R
181	:	1538347571.630	  1398.105	0	0	0	0	srun -N 1 -n 1 --exclusive R CMD BATCH '--args 181' lusc_mccv_enet.R
